EventTime,Origin,Destination,replicate,Continent_origin,Continent_dest,date,month,Region_origin,Region_dest,biweek,Region_origin2,Region_dest2
2021.51233,Namibia,Angola,1,Africa,Africa,2021-07-07,2021-07-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
2021.52329,Portugal,Angola,1,Europe,Africa,2021-07-11,2021-07-01,Western Europe,Southern Africa,2021-07-11,Western Europe,Southern Africa
2021.52331,South Africa,Angola,1,Africa,Africa,2021-07-11,2021-07-01,Southern Africa,Southern Africa,2021-07-11,Southern Africa,Southern Africa
2021.52446,Portugal,Angola,1,Europe,Africa,2021-07-11,2021-07-01,Western Europe,Southern Africa,2021-07-11,Western Europe,Southern Africa
2021.52603,Namibia,Angola,1,Africa,Africa,2021-07-12,2021-07-01,Southern Africa,Southern Africa,2021-07-11,Southern Africa,Southern Africa
2021.53425,Portugal,Angola,1,Europe,Africa,2021-07-15,2021-07-01,Western Europe,Southern Africa,2021-07-11,Western Europe,Southern Africa
2021.53679,Portugal,Angola,1,Europe,Africa,2021-07-15,2021-07-01,Western Europe,Southern Africa,2021-07-11,Western Europe,Southern Africa
2021.53973,Namibia,Angola,1,Africa,Africa,2021-07-17,2021-07-01,Southern Africa,Southern Africa,2021-07-11,Southern Africa,Southern Africa
2021.54066,Namibia,Angola,1,Africa,Africa,2021-07-17,2021-07-01,Southern Africa,Southern Africa,2021-07-11,Southern Africa,Southern Africa
2021.54691,Nigeria,Angola,1,Africa,Africa,2021-07-19,2021-07-01,Western Africa,Southern Africa,2021-07-11,Western Africa,Southern Africa
2021.57117,Republic of the Congo,Angola,1,,Africa,2021-07-28,2021-07-01,,Southern Africa,2021-07-25,,Southern Africa
2021.57535,Portugal,Angola,1,Europe,Africa,2021-07-30,2021-07-01,Western Europe,Southern Africa,2021-07-25,Western Europe,Southern Africa
2021.57536,South Africa,Angola,1,Africa,Africa,2021-07-30,2021-07-01,Southern Africa,Southern Africa,2021-07-25,Southern Africa,Southern Africa
2021.61371,Portugal,Angola,1,Europe,Africa,2021-08-13,2021-08-01,Western Europe,Southern Africa,2021-08-08,Western Europe,Southern Africa
2021.63563,South Africa,Angola,1,Africa,Africa,2021-08-21,2021-08-01,Southern Africa,Southern Africa,2021-08-08,Southern Africa,Southern Africa
2021.63898,Namibia,Angola,1,Africa,Africa,2021-08-22,2021-08-01,Southern Africa,Southern Africa,2021-08-22,Southern Africa,Southern Africa
2021.67123,Namibia,Angola,1,Africa,Africa,2021-09-02,2021-09-01,Southern Africa,Southern Africa,2021-08-22,Southern Africa,Southern Africa
2021.67123,Botswana,Angola,1,Africa,Africa,2021-09-02,2021-09-01,Southern Africa,Southern Africa,2021-08-22,Southern Africa,Southern Africa
2021.67394,Zambia,Angola,1,Africa,Africa,2021-09-03,2021-09-01,Southern Africa,Southern Africa,2021-08-22,Southern Africa,Southern Africa
2021.67876,Namibia,Angola,1,Africa,Africa,2021-09-05,2021-09-01,Southern Africa,Southern Africa,2021-09-05,Southern Africa,Southern Africa
2021.68767,Portugal,Angola,1,Europe,Africa,2021-09-08,2021-09-01,Western Europe,Southern Africa,2021-09-05,Western Europe,Southern Africa
2021.68767,Portugal,Angola,1,Europe,Africa,2021-09-08,2021-09-01,Western Europe,Southern Africa,2021-09-05,Western Europe,Southern Africa
2021.69592,Democratic Republic of the Congo,Angola,1,,Africa,2021-09-12,2021-09-01,,Southern Africa,2021-09-05,,Southern Africa
2021.70134,Portugal,Angola,1,Europe,Africa,2021-09-13,2021-09-01,Western Europe,Southern Africa,2021-09-05,Western Europe,Southern Africa
2021.70136,Bangladesh,Angola,1,Asia,Africa,2021-09-13,2021-09-01,India+,Southern Africa,2021-09-05,India+,Southern Africa
2021.70682,Zambia,Angola,1,Africa,Africa,2021-09-15,2021-09-01,Southern Africa,Southern Africa,2021-09-05,Southern Africa,Southern Africa
2021.70686,South Africa,Angola,1,Africa,Africa,2021-09-16,2021-09-01,Southern Africa,Southern Africa,2021-09-05,Southern Africa,Southern Africa
2021.70959,Namibia,Angola,1,Africa,Africa,2021-09-17,2021-09-01,Southern Africa,Southern Africa,2021-09-05,Southern Africa,Southern Africa
2021.71507,Portugal,Angola,1,Europe,Africa,2021-09-19,2021-09-01,Western Europe,Southern Africa,2021-09-19,Western Europe,Southern Africa
2021.72876,Namibia,Angola,1,Africa,Africa,2021-09-23,2021-09-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.7315,South Africa,Angola,1,Africa,Africa,2021-09-24,2021-09-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.73699,Portugal,Angola,1,Europe,Africa,2021-09-27,2021-09-01,Western Europe,Southern Africa,2021-09-19,Western Europe,Southern Africa
2021.73699,South Africa,Angola,1,Africa,Africa,2021-09-27,2021-09-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.73971,Namibia,Angola,1,Africa,Africa,2021-09-27,2021-09-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.74246,Namibia,Angola,1,Africa,Africa,2021-09-28,2021-09-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.74794,Namibia,Angola,1,Africa,Africa,2021-09-30,2021-09-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.75069,Namibia,Angola,1,Africa,Africa,2021-10-02,2021-10-01,Southern Africa,Southern Africa,2021-09-19,Southern Africa,Southern Africa
2021.07393,Portugal,Angola,2,Europe,Africa,2021-01-27,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.1205,Democratic Republic of the Congo,Angola,2,,Africa,2021-02-13,2021-02-01,,Southern Africa,2021-02-07,,Southern Africa
2021.06297,Portugal,Angola,2,Europe,Africa,2021-01-23,2021-01-01,Western Europe,Southern Africa,2021-01-10,Western Europe,Southern Africa
2020.88661,Portugal,Angola,2,Europe,Africa,2020-11-20,2020-11-01,Western Europe,Southern Africa,2020-11-15,Western Europe,Southern Africa
2020.98527,Portugal,Angola,2,Europe,Africa,2020-12-26,2020-12-01,Western Europe,Southern Africa,2020-12-13,Western Europe,Southern Africa
2021.28762,Portugal,Angola,2,Europe,Africa,2021-04-15,2021-04-01,Western Europe,Southern Africa,2021-04-04,Western Europe,Southern Africa
2021.04104,Kuwait,Angola,2,Asia,Africa,2021-01-15,2021-01-01,Middle East,Southern Africa,2021-01-10,Middle East,Southern Africa
2021.23831,Portugal,Angola,2,Europe,Africa,2021-03-28,2021-03-01,Western Europe,Southern Africa,2021-03-21,Western Europe,Southern Africa
2021.14515,Portugal,Angola,2,Europe,Africa,2021-02-22,2021-02-01,Western Europe,Southern Africa,2021-02-21,Western Europe,Southern Africa
2021.04103,Portugal,Angola,2,Europe,Africa,2021-01-15,2021-01-01,Western Europe,Southern Africa,2021-01-10,Western Europe,Southern Africa
2021.24651,Portugal,Angola,2,Europe,Africa,2021-03-31,2021-03-01,Western Europe,Southern Africa,2021-03-21,Western Europe,Southern Africa
2021.07714,Portugal,Angola,2,Europe,Africa,2021-01-29,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.23829,Guinea,Angola,2,Africa,Africa,2021-03-28,2021-03-01,Western Africa,Southern Africa,2021-03-21,Western Africa,Southern Africa
2021.17542,Portugal,Angola,2,Europe,Africa,2021-03-06,2021-03-01,Western Europe,Southern Africa,2021-02-21,Western Europe,Southern Africa
2021.46295,Portugal,Angola,2,Europe,Africa,2021-06-18,2021-06-01,Western Europe,Southern Africa,2021-06-13,Western Europe,Southern Africa
2020.93761,Portugal,Angola,2,Europe,Africa,2020-12-09,2020-12-01,Western Europe,Southern Africa,2020-11-29,Western Europe,Southern Africa
2021.28759,USA,Angola,2,,Africa,2021-04-15,2021-04-01,,Southern Africa,2021-04-04,,Southern Africa
2021.14515,Czech Republic,Angola,2,,Africa,2021-02-22,2021-02-01,,Southern Africa,2021-02-21,,Southern Africa
2021.29309,Portugal,Angola,2,Europe,Africa,2021-04-17,2021-04-01,Western Europe,Southern Africa,2021-04-04,Western Europe,Southern Africa
2021.47938,Republic of the Congo,Angola,2,,Africa,2021-06-24,2021-06-01,,Southern Africa,2021-06-13,,Southern Africa
2021.5013,Portugal,Angola,2,Europe,Africa,2021-07-02,2021-07-01,Western Europe,Southern Africa,2021-06-27,Western Europe,Southern Africa
2021.0657,Portugal,Angola,2,Europe,Africa,2021-01-24,2021-01-01,Western Europe,Southern Africa,2021-01-24,Western Europe,Southern Africa
2021.46164,Portugal,Angola,2,Europe,Africa,2021-06-18,2021-06-01,Western Europe,Southern Africa,2021-06-13,Western Europe,Southern Africa
2021.05655,South Africa,Angola,2,Africa,Africa,2021-01-21,2021-01-01,Southern Africa,Southern Africa,2021-01-10,Southern Africa,Southern Africa
2020.79574,Democratic Republic of the Congo,Angola,2,,Africa,2020-10-18,2020-10-01,,Southern Africa,2020-10-18,,Southern Africa
2020.89816,South Africa,Angola,2,Africa,Africa,2020-11-24,2020-11-01,Southern Africa,Southern Africa,2020-11-15,Southern Africa,Southern Africa
2020.93698,Brazil,Angola,2,South America,Africa,2020-12-08,2020-12-01,Brazil,Southern Africa,2020-11-29,Brazil,Southern Africa
2021.22187,Brazil,Angola,2,South America,Africa,2021-03-22,2021-03-01,Brazil,Southern Africa,2021-03-21,Brazil,Southern Africa
2020.55957,Portugal,Angola,2,Europe,Africa,2020-07-23,2020-07-01,Western Europe,Southern Africa,2020-07-12,Western Europe,Southern Africa
2020.51521,Portugal,Angola,2,Europe,Africa,2020-07-07,2020-07-01,Western Europe,Southern Africa,2020-06-28,Western Europe,Southern Africa
2021.15292,Benin,Angola,2,Africa,Africa,2021-02-25,2021-02-01,Western Africa,Southern Africa,2021-02-21,Western Africa,Southern Africa
